
@RELATION training_tutorial1

   @ATTRIBUTE TICK NUMERIC
   @ATTRIBUTE width NUMERIC
   @ATTRIBUTE height NUMERIC
   @ATTRIBUTE pacman_position_x NUMERIC
   @ATTRIBUTE pacman_position_y NUMERIC
   @ATTRIBUTE legal_actions_N {True,False}
   @ATTRIBUTE legal_actions_S {True,False}
   @ATTRIBUTE legal_actions_E {True,False}   
   @ATTRIBUTE legal_actions_W {True,False}   
   @ATTRIBUTE direction {North,South,West,East,Stop}
   @ATTRIBUTE number_ghosts NUMERIC
   @ATTRIBUTE number_living_ghosts NUMERIC
   @ATTRIBUTE mov_ver NUMERIC
   @ATTRIBUTE mov_hor NUMERIC
   @ATTRIBUTE min_distancia_norte NUMERIC
   @ATTRIBUTE min_distancia_sur NUMERIC
   @ATTRIBUTE min_distancia_oeste NUMERIC
   @ATTRIBUTE min_distancia_este NUMERIC
   @ATTRIBUTE num_ghost_N NUMERIC
   @ATTRIBUTE num_ghost_S NUMERIC
   @ATTRIBUTE num_ghost_W NUMERIC
   @ATTRIBUTE num_ghost_E NUMERIC
   @ATTRIBUTE num_ghost_ori_N NUMERIC
   @ATTRIBUTE num_ghost_ori_S NUMERIC
   @ATTRIBUTE num_ghost_ori_W NUMERIC
   @ATTRIBUTE num_ghost_ori_E NUMERIC
   @ATTRIBUTE direccion_fantasma_N {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_S {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_W {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_E {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_cercano {North,South,West,East,Stop}   
   @ATTRIBUTE distancia_fantasma_cercano NUMERIC
   @ATTRIBUTE pac_dots NUMERIC
   @ATTRIBUTE nearest_food NUMERIC
   @ATTRIBUTE SCORE NUMERIC
   @ATTRIBUTE action {North,South,West,East,Stop}
   @ATTRIBUTE NEXT_SCORE NUMERIC
   
   @data
11, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 7, -4, 999999, 3, 7, 999999, 0, 3, 4, 0, 0, 0, 1, 3, None, East, East, None, East, 7, 2, 14, -10,Stop, -11
12, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 8, -5, 999999, 2, 8, 999999, 0, 3, 4, 0, 1, 1, 0, 2, None, North, East, None, East, 8, 2, 14, -11,Stop, -12
13, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 8, -5, 999999, 2, 8, 999999, 0, 3, 4, 0, 1, 1, 1, 1, None, North, West, None, East, 8, 2, 14, -12,Stop, -13
14, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 8, -6, 999999, 2, 8, 999999, 0, 3, 4, 0, 1, 2, 0, 1, None, North, South, None, East, 9, 2, 14, -13,Stop, -14
15, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 8, -7, 999999, 2, 8, 999999, 0, 3, 4, 0, 0, 2, 0, 2, None, East, South, None, East, 9, 2, 14, -14,Stop, -15
16, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 8, -6, 999999, 1, 8, 999999, 0, 3, 4, 0, 2, 1, 0, 1, None, North, South, None, East, 10, 2, 14, -15,Stop, -16
17, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 7, -7, 999999, 2, 7, 999999, 0, 3, 4, 0, 0, 2, 2, 0, None, South, West, None, West, 9, 2, 14, -16,Stop, -17
18, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 7, -6, 999999, 2, 7, 999999, 0, 3, 4, 0, 2, 0, 2, 0, None, West, North, None, West, 9, 2, 14, -17,Stop, -18
19, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 7, -6, 999999, 2, 7, 999999, 0, 3, 4, 0, 1, 0, 3, 0, None, West, North, None, West, 8, 2, 14, -18,Stop, -19
20, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 6, -5, 999999, 3, 6, 999999, 0, 3, 4, 0, 1, 1, 2, 0, None, South, West, None, West, 7, 2, 14, -19,Stop, -20
21, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 6, -5, 999999, 3, 6, 999999, 0, 3, 4, 0, 1, 0, 2, 1, None, East, West, None, West, 7, 2, 14, -20,Stop, -21
22, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 5, -6, 999999, 3, 5, 999999, 0, 3, 4, 0, 0, 1, 3, 0, None, West, West, None, West, 6, 2, 14, -21,Stop, -22
23, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 5, -6, 999999, 4, 5, 999999, 0, 3, 4, 0, 0, 1, 2, 1, None, West, West, None, West, 5, 2, 14, -22,Stop, -23
24, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 5, -6, 999999, 1, 5, 999999, 0, 4, 4, 0, 0, 1, 1, 2, None, South, South, None, South, 6, 2, 14, -23,Stop, -24
25, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 5, -6, 999999, 2, 5, 999999, 0, 4, 4, 0, 0, 1, 1, 2, None, South, South, None, South, 7, 2, 14, -24,Stop, -25
26, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 5, -6, 999999, 1, 5, 999999, 0, 4, 4, 0, 3, 0, 1, 0, None, North, North, None, North, 6, 2, 14, -25,Stop, -26
27, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 5, -6, 999999, 1, 5, 999999, 0, 4, 4, 0, 3, 0, 1, 0, None, North, North, None, North, 6, 2, 14, -26,Stop, -27
28, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 5, -6, 999999, 3, 5, 999999, 0, 3, 4, 0, 2, 1, 0, 1, None, North, North, None, North, 5, 2, 14, -27,Stop, -28
29, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 4, -7, 999999, 3, 4, 999999, 0, 3, 4, 0, 1, 2, 1, 0, None, North, West, None, West, 4, 2, 14, -28,Stop, -29
30, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 5, -8, 999999, 4, 5, 999999, 0, 3, 4, 0, 0, 2, 0, 2, None, South, East, None, East, 5, 2, 14, -29,Stop, -30
31, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 4, -7, 999999, 4, 4, 999999, 0, 3, 4, 0, 1, 0, 2, 1, None, West, West, None, West, 4, 2, 14, -30,Stop, -31
32, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 3, -8, 999999, 4, 3, 999999, 0, 3, 4, 0, 0, 2, 2, 0, None, West, West, None, West, 3, 2, 14, -31,Stop, -32
33, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 2, -7, 999999, 4, 2, 999999, 0, 3, 4, 0, 1, 1, 2, 0, None, West, West, None, West, 2, 2, 14, -32,Stop, -33
34, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 3, -6, 999999, 3, 3, 999999, 0, 3, 4, 0, 2, 0, 1, 1, None, North, East, None, East, 3, 2, 14, -33,Stop, -34
1, 20, 13, 1, 11, False, True, True, False, Stop, 4, 4, 5, -6, 999999, 2, 5, 999999, 0, 3, 4, 0, 0, 0, 0, 0, None, Stop, Stop, None, Stop, 7, 2, 14, 0,South, -1
2, 20, 13, 1, 10, True, True, False, False, South, 4, 4, 4, -5, 1, 1, 4, 999999, 1, 3, 4, 0, 1, 0, 2, 1, West, East, West, None, East, 7, 2, 13, -1,South, -2
3, 20, 13, 1, 9, True, True, True, False, South, 4, 4, 4, -5, 2, 2, 4, 999999, 1, 2, 4, 0, 0, 1, 1, 2, East, West, South, None, East, 7, 2, 12, -2,East, -3
4, 20, 13, 2, 9, False, True, True, True, East, 4, 4, 3, -6, 2, 1, 3, 999999, 1, 2, 4, 0, 1, 1, 0, 2, East, North, South, None, East, 6, 2, 11, -3,East, -4
5, 20, 13, 3, 9, False, True, True, True, East, 4, 4, 1, -6, 2, 2, 1, 999999, 1, 2, 4, 0, 0, 1, 1, 2, East, South, West, None, East, 6, 2, 10, -4,East, -5
6, 20, 13, 4, 9, False, True, True, True, East, 4, 4, 0, -6, 2, 2, 3, 999999, 1, 2, 3, 0, 0, 1, 2, 1, West, South, West, None, West, 5, 2, 9, -5,East, -6
7, 20, 13, 5, 9, True, True, True, True, East, 4, 4, -1, -5, 2, 1, 3, 1, 1, 3, 3, 1, 1, 1, 0, 2, East, South, East, North, East, 5, 2, 8, -6,North, -7
8, 20, 13, 5, 10, True, True, True, False, North, 4, 4, -1, -5, 1, 2, 4, 1, 1, 3, 3, 1, 2, 1, 0, 1, East, North, East, North, East, 5, 2, 9, -7,North, -8
9, 20, 13, 5, 11, False, True, True, True, North, 4, 4, -1, -6, 999999, 3, 3, 1, 0, 3, 3, 1, 1, 1, 1, 1, None, East, West, North, West, 3, 2, 10, -8,East, -9
10, 20, 13, 6, 11, False, True, True, True, East, 4, 4, -2, -7, 999999, 3, 3, 2, 0, 3, 3, 1, 0, 1, 1, 2, None, East, West, South, East, 3, 2, 9, -9,East, -10
11, 20, 13, 7, 11, False, False, True, True, East, 4, 4, -3, -6, 999999, 3, 1, 3, 0, 3, 3, 1, 1, 1, 0, 1, None, East, Stop, North, Stop, 1, 2, 8, -10,East, 189
12, 20, 13, 8, 11, False, False, True, True, East, 4, 3, -3, -6, 999999, 4, 2, 3, 0, 3, 2, 1, 0, 1, 0, 2, None, South, East, East, East, 7, 2, 7, 189,East, 188
13, 20, 13, 9, 11, False, False, True, True, East, 4, 3, -4, -7, 999999, 4, 7, 4, 0, 3, 1, 1, 0, 2, 1, 0, None, South, South, South, West, 5, 2, 6, 188,East, 187
14, 20, 13, 10, 11, False, True, True, True, East, 4, 3, -5, -7, 999999, 4, 7, 5, 0, 3, 1, 1, 0, 1, 0, 2, None, East, East, South, East, 5, 2, 5, 187,South, 186
15, 20, 13, 10, 10, True, True, True, False, South, 4, 3, -6, -6, 999999, 3, 8, 6, 0, 3, 1, 1, 0, 1, 1, 1, None, East, East, West, South, 5, 2, 4, 186,South, 185
16, 20, 13, 10, 9, True, True, True, True, South, 4, 3, -6, -4, 999999, 2, 1, 6, 0, 3, 2, 1, 1, 0, 0, 2, None, East, East, North, East, 5, 2, 3, 185,South, 184
17, 20, 13, 10, 8, True, True, False, True, South, 4, 3, -6, -3, 999999, 3, 2, 6, 0, 2, 2, 1, 2, 0, 0, 1, None, North, East, North, East, 5, 2, 2, 184,South, 183
18, 20, 13, 10, 7, True, True, False, True, South, 4, 3, -5, -2, 1, 2, 3, 5, 1, 2, 2, 1, 0, 0, 1, 2, West, East, East, East, East, 5, 1, 7, 183,South, 282
19, 20, 13, 10, 6, True, True, False, True, South, 4, 3, -6, -1, 2, 1, 3, 6, 1, 2, 2, 1, 0, 1, 1, 1, East, West, South, West, South, 5, 1, 8, 282,South, 281
20, 20, 13, 10, 5, True, True, True, True, South, 4, 3, -6, 0, 3, 1, 4, 6, 1, 1, 2, 1, 0, 0, 2, 1, West, East, East, West, East, 5, 1, 9, 281,East, 280
21, 20, 13, 11, 5, False, True, True, True, East, 4, 3, -7, -1, 4, 1, 3, 7, 1, 2, 2, 1, 1, 2, 0, 0, North, South, South, South, South, 5, 1, 8, 280,East, 279
22, 20, 13, 12, 5, False, False, True, True, East, 4, 3, -9, -1, 4, 1, 1, 9, 1, 2, 2, 1, 0, 0, 3, 0, West, West, West, West, West, 3, 1, 7, 279,East, 278
23, 20, 13, 13, 5, False, True, True, True, East, 4, 3, -11, -1, 4, 1, 1, 11, 1, 2, 2, 1, 0, 0, 2, 1, West, West, East, West, East, 3, 1, 6, 278,South, 277
24, 20, 13, 13, 4, True, True, True, False, South, 4, 3, -10, 0, 4, 1, 2, 10, 1, 1, 2, 1, 0, 1, 0, 2, South, East, East, East, East, 3, 1, 7, 277,South, 276
25, 20, 13, 13, 3, True, False, True, False, South, 4, 3, -9, 1, 1, 999999, 2, 9, 3, 0, 2, 1, 1, 1, 0, 1, East, None, North, East, North, 3, 1, 8, 276,North, 275
26, 20, 13, 13, 4, True, True, True, False, North, 4, 3, -8, 0, 3, 999999, 2, 8, 1, 0, 2, 1, 0, 1, 0, 2, South, None, South, East, East, 3, 1, 7, 275,East, 274
27, 20, 13, 14, 4, True, True, True, True, East, 4, 3, -9, 0, 3, 1, 2, 9, 1, 1, 2, 1, 0, 1, 0, 2, East, South, South, East, South, 3, 1, 6, 274,South, 273
28, 20, 13, 14, 3, True, False, True, True, South, 4, 3, -10, 1, 1, 999999, 1, 10, 3, 0, 2, 1, 1, 0, 2, 0, West, None, West, West, North, 3, 1, 7, 273,North, 272
29, 20, 13, 14, 4, True, True, True, True, North, 4, 3, -10, 0, 3, 999999, 2, 10, 1, 0, 2, 1, 0, 0, 1, 2, East, None, East, West, East, 3, 1, 6, 272,East, 271
30, 20, 13, 15, 4, True, True, True, True, East, 4, 3, -10, 0, 3, 999999, 1, 10, 1, 0, 1, 1, 0, 0, 1, 1, West, None, Stop, East, Stop, 1, 1, 7, 271,East, 470
31, 20, 13, 16, 4, True, True, True, True, East, 4, 2, -11, 0, 3, 999999, 999999, 11, 1, 0, 0, 1, 0, 0, 0, 2, East, None, None, East, East, 3, 1, 8, 470,North, 469
32, 20, 13, 16, 5, False, True, True, True, North, 4, 2, -11, 0, 2, 999999, 999999, 11, 1, 0, 0, 1, 1, 0, 0, 1, East, None, None, North, East, 2, 1, 7, 469,East, 468
33, 20, 13, 17, 5, False, True, True, True, East, 4, 2, -12, 0, 3, 999999, 999999, 1, 1, 0, 0, 2, 2, 0, 0, 0, North, None, None, North, North, 4, 1, 8, 468,East, 467
34, 20, 13, 18, 5, True, True, False, True, East, 4, 2, -14, 0, 3, 999999, 999999, 1, 1, 0, 0, 2, 0, 0, 1, 1, East, None, None, East, East, 4, 1, 9, 467,North, 466
35, 20, 13, 18, 6, True, True, False, False, North, 4, 2, -13, -1, 2, 1, 999999, 13, 1, 1, 0, 1, 0, 0, 0, 2, East, East, None, East, East, 2, 1, 8, 466,North, 465
36, 20, 13, 18, 7, True, True, False, True, North, 4, 2, -12, -2, 2, 2, 999999, 12, 1, 1, 0, 1, 1, 0, 0, 1, North, East, None, East, North, 2, 1, 7, 465,North, 464
37, 20, 13, 18, 8, True, True, False, True, North, 4, 2, -13, -3, 1, 3, 999999, 13, 1, 1, 0, 1, 0, 0, 1, 0, Stop, West, None, West, Stop, 1, 1, 6, 464,North, 663
38, 20, 13, 18, 9, True, True, False, True, North, 4, 1, -13, -5, 999999, 5, 999999, 13, 0, 1, 0, 1, 0, 1, 0, 0, None, South, None, South, South, 18, 1, 5, 663,South, 662
39, 20, 13, 18, 8, True, True, False, True, South, 4, 1, -13, -3, 999999, 3, 999999, 13, 0, 1, 0, 1, 1, 0, 0, 0, None, North, None, North, North, 16, 1, 6, 662,South, 661
40, 20, 13, 18, 7, True, True, False, True, South, 4, 1, -14, -2, 999999, 2, 999999, 14, 0, 1, 0, 1, 0, 0, 1, 0, None, West, None, West, West, 16, 1, 7, 661,South, 660
41, 20, 13, 18, 6, True, True, False, False, South, 4, 1, -15, -1, 999999, 1, 999999, 15, 0, 1, 0, 1, 0, 0, 1, 0, None, West, None, West, West, 16, 1, 8, 660,South, 659
42, 20, 13, 18, 5, True, True, False, True, South, 4, 1, -15, 0, 999999, 999999, 999999, 15, 0, 0, 0, 1, 0, 0, 1, 0, None, None, None, West, West, 15, 1, 9, 659,West, 658
43, 20, 13, 17, 5, False, True, True, True, West, 4, 1, -15, 0, 999999, 999999, 999999, 15, 0, 0, 0, 1, 0, 0, 1, 0, None, None, None, West, Stop, 14, 1, 8, 658,West, 657
44, 20, 13, 16, 5, False, True, True, True, West, 4, 1, -13, 0, 999999, 999999, 999999, 13, 0, 0, 0, 1, 0, 0, 0, 1, None, None, None, East, East, 13, 1, 7, 657,West, 656
45, 20, 13, 15, 5, False, True, True, True, West, 4, 1, -11, 0, 999999, 999999, 999999, 11, 0, 0, 0, 1, 0, 0, 0, 1, None, None, None, East, East, 11, 1, 6, 656,West, 655
46, 20, 13, 14, 5, True, True, True, True, West, 4, 1, -10, 0, 999999, 999999, 999999, 10, 0, 0, 0, 1, 0, 0, 0, 1, None, None, None, East, East, 10, 1, 5, 655,West, 654
47, 20, 13, 13, 5, False, True, True, True, West, 4, 1, -8, 0, 999999, 999999, 999999, 8, 0, 0, 0, 1, 0, 0, 0, 1, None, None, None, East, East, 8, 1, 6, 654,West, 653
48, 20, 13, 12, 5, False, False, True, True, West, 4, 1, -7, -1, 999999, 1, 999999, 7, 0, 1, 0, 1, 0, 1, 0, 0, None, South, None, South, South, 8, 1, 7, 653,West, 652
49, 20, 13, 11, 5, False, True, True, True, West, 4, 1, -6, -2, 999999, 2, 999999, 6, 0, 1, 0, 1, 0, 1, 0, 0, None, South, None, South, South, 8, 1, 8, 652,South, 651
50, 20, 13, 11, 4, True, True, False, True, South, 4, 1, -7, -1, 999999, 1, 999999, 7, 0, 1, 0, 1, 0, 0, 1, 0, None, West, None, West, Stop, 7, 1, 9, 651,South, 650
51, 20, 13, 11, 3, True, False, False, True, South, 4, 1, -7, 0, 999999, 999999, 999999, 7, 0, 0, 0, 1, 0, 0, 1, 0, None, None, None, West, Stop, 6, 1, 10, 650,West, 649
52, 20, 13, 10, 3, True, False, True, True, West, 4, 1, -6, 0, 999999, 999999, 999999, 6, 0, 0, 0, 1, 0, 0, 1, 0, None, None, None, West, Stop, 5, 1, 11, 649,West, 648
53, 20, 13, 9, 3, True, False, True, True, West, 4, 1, -5, 1, 1, 999999, 999999, 5, 1, 0, 0, 1, 1, 0, 0, 0, North, None, None, North, Stop, 4, 1, 12, 648,North, 647
54, 20, 13, 9, 4, True, True, True, True, North, 4, 1, -5, 0, 999999, 999999, 999999, 5, 0, 0, 0, 1, 1, 0, 0, 0, None, None, None, North, North, 5, 1, 11, 647,West, 646
55, 20, 13, 8, 4, True, True, True, True, West, 4, 1, -4, 1, 1, 999999, 999999, 4, 1, 0, 0, 1, 1, 0, 0, 0, North, None, None, North, Stop, 4, 1, 12, 646,North, 645
56, 20, 13, 8, 5, True, True, True, True, North, 4, 1, -5, 0, 999999, 999999, 999999, 5, 0, 0, 0, 1, 0, 0, 1, 0, None, None, None, West, West, 5, 1, 11, 645,West, 644
57, 20, 13, 7, 5, False, True, True, True, West, 4, 1, -5, 0, 999999, 999999, 999999, 5, 0, 0, 0, 1, 0, 0, 1, 0, None, None, None, West, Stop, 4, 1, 12, 644,West, 643
58, 20, 13, 6, 5, False, True, True, True, West, 4, 1, -3, 0, 999999, 999999, 999999, 3, 0, 0, 0, 1, 0, 0, 0, 1, None, None, None, East, East, 3, 1, 13, 643,West, 642
59, 20, 13, 5, 5, False, True, True, True, West, 4, 1, -2, 0, 999999, 999999, 999999, 2, 0, 0, 0, 1, 0, 0, 0, 1, None, None, None, East, East, 2, 1, 14, 642,West, 641
60, 20, 13, 4, 5, False, True, True, True, West, 4, 1, -1, -1, 999999, 1, 999999, 1, 0, 1, 0, 1, 0, 1, 0, 0, None, South, None, South, South, 2, 1, 15, 641,South, 640
1, 27, 20, 1, 18, False, True, True, False, Stop, 4, 4, 4, -9, 999999, 5, 4, 999999, 0, 4, 4, 0, 0, 0, 0, 0, None, Stop, Stop, None, Stop, 13, 0, -1, 0,South, -1
2, 27, 20, 1, 17, True, True, False, False, South, 4, 4, 4, -8, 999999, 4, 4, 999999, 0, 4, 4, 0, 0, 0, 0, 0, None, Stop, Stop, None, Stop, 12, 0, -1, -1,South, -2
3, 27, 20, 1, 16, True, True, True, False, South, 4, 4, 4, -7, 999999, 3, 4, 999999, 0, 4, 4, 0, 1, 0, 1, 0, None, Stop, Stop, None, Stop, 11, 0, -1, -2,South, -3
4, 27, 20, 1, 15, True, True, True, False, South, 4, 4, 3, -6, 999999, 2, 3, 999999, 0, 4, 4, 0, 1, 0, 2, 0, None, Stop, West, None, West, 9, 0, -1, -3,South, -4
5, 27, 20, 1, 14, True, True, True, False, South, 4, 4, 3, -6, 999999, 6, 3, 999999, 0, 3, 4, 0, 1, 1, 2, 0, None, South, South, None, South, 9, 0, -1, -4,South, -5
6, 27, 20, 1, 13, True, True, False, False, South, 4, 4, 3, -4, 1, 4, 3, 999999, 1, 3, 4, 0, 2, 0, 1, 1, West, North, North, None, North, 7, 0, -1, -5,South, -6
7, 27, 20, 1, 12, True, True, True, False, South, 4, 4, 2, -3, 2, 3, 2, 999999, 1, 3, 4, 0, 0, 1, 3, 0, West, West, West, None, West, 5, 0, -1, -6,South, -7
8, 27, 20, 1, 11, True, True, False, False, South, 4, 4, 2, -1, 3, 1, 2, 999999, 1, 3, 4, 0, 1, 0, 2, 1, West, North, North, None, North, 3, 0, -1, -7,South, -8
9, 27, 20, 1, 10, True, True, False, False, South, 4, 4, 2, 0, 4, 4, 2, 999999, 1, 2, 4, 0, 1, 0, 1, 2, East, West, North, None, North, 2, 0, -1, -8,South, -9
10, 27, 20, 1, 9, True, True, False, False, South, 4, 4, 2, 0, 6, 3, 2, 999999, 1, 2, 4, 0, 1, 1, 1, 1, North, West, South, None, South, 2, 0, -1, -9,South, -10
11, 27, 20, 1, 8, True, True, False, False, South, 4, 4, 3, 1, 1, 1, 3, 999999, 2, 2, 4, 0, 1, 1, 0, 2, East, North, East, None, East, 4, 0, -1, -10,South, -11
12, 27, 20, 1, 7, True, True, False, False, South, 4, 4, 4, 0, 2, 4, 4, 999999, 2, 1, 4, 0, 0, 1, 2, 1, East, South, East, None, East, 6, 0, -1, -11,South, -12
13, 27, 20, 1, 6, True, True, True, False, South, 4, 4, 5, -2, 1, 2, 5, 999999, 3, 1, 4, 0, 2, 0, 1, 1, West, North, East, None, East, 8, 0, -1, -12,East, -13
14, 27, 20, 2, 6, False, True, True, True, East, 4, 4, 3, 2, 2, 3, 3, 999999, 3, 1, 4, 0, 2, 1, 1, 0, North, South, West, None, West, 6, 0, -1, -13,East, -14
15, 27, 20, 3, 6, True, True, True, True, East, 4, 4, 3, -2, 3, 2, 3, 999999, 3, 1, 4, 0, 2, 0, 0, 2, East, North, East, None, East, 6, 0, -1, -14,North, -15
16, 27, 20, 3, 7, True, True, True, False, North, 4, 4, 2, 2, 2, 3, 2, 999999, 3, 1, 4, 0, 1, 1, 1, 1, West, North, West, None, West, 4, 0, -1, -15,North, -16
17, 27, 20, 3, 8, True, True, True, False, North, 4, 4, 2, 1, 1, 4, 2, 999999, 3, 1, 4, 0, 1, 1, 2, 0, West, West, West, None, West, 3, 0, -1, -16,North, -17
18, 27, 20, 3, 9, True, True, True, False, North, 4, 4, 2, 0, 1, 4, 2, 999999, 2, 1, 4, 0, 2, 1, 1, 0, North, North, North, None, North, 3, 0, -1, -17,North, -18
19, 27, 20, 3, 10, False, True, True, False, North, 4, 4, 3, 0, 5, 2, 3, 999999, 1, 2, 4, 0, 1, 1, 1, 1, West, South, East, None, East, 3, 0, -1, -18,East, -19
20, 27, 20, 4, 10, False, True, True, True, East, 4, 4, 1, 0, 5, 3, 1, 999999, 1, 2, 4, 0, 0, 2, 1, 0, West, South, Stop, None, Stop, 1, 0, -1, -19,East, 180
21, 27, 20, 5, 10, False, True, True, True, East, 4, 3, 5, -5, 4, 2, 5, 999999, 1, 2, 3, 0, 2, 1, 0, 0, South, North, North, None, North, 10, 0, -1, 180,South, 179
22, 27, 20, 5, 9, True, True, True, True, South, 4, 3, 5, -4, 5, 2, 5, 999999, 1, 2, 3, 0, 1, 1, 1, 0, West, South, North, None, North, 9, 0, -1, 179,South, 178
23, 27, 20, 5, 8, True, True, True, True, South, 4, 3, 4, -3, 6, 1, 4, 999999, 1, 2, 3, 0, 0, 0, 3, 0, West, West, West, None, West, 7, 0, -1, 178,South, 177
